blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
15526508,1663066109,0x60c1e3b33b7b67f3ba2e2b48183be5a6296d54813f3c2cfeb547b69a12c9bf89,17,0x53b13db2b6a0ce252548a4255eb3abb35637714ba37b72fbb43f6a37bacb30e1,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x46d6a45167c9d4c6d5b6e4e6ece9834be53c8f9c,8000000000,USDC,USDC,6,115,115339,8502317199,103741,8308294,deprecated,7047707
15527324,1663077916,0x04ab3956429501c2b4b40a0a3e1421bcc2a40b21e04410efa96ea1fad0e43738,1,0x2be7a7161d3d6e99ba51f1c39dbca17850716b01ca233d3812f1cba9bc3a05ea,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x46d6a45167c9d4c6d5b6e4e6ece9834be53c8f9c,2267000000,USDC,USDC,6,55,213117,35617289655,139930,3837420,deprecated,7046891
15527324,1663077916,0x04ab3956429501c2b4b40a0a3e1421bcc2a40b21e04410efa96ea1fad0e43738,1,0x2be7a7161d3d6e99ba51f1c39dbca17850716b01ca233d3812f1cba9bc3a05ea,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,1285000000,USDC,USDC,6,55,213117,35617289655,139930,3837420,deprecated,7046891
15538220,1663234223,0x91422977e7d8e835ddcfc949624557cfc1d95262a21d87980ee8972116e51607,18,0xaf4a7116808930c0f2359083202cb0e248bdc580c46fedaec6afe8769ba413fa,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x46d6a45167c9d4c6d5b6e4e6ece9834be53c8f9c,76000000,USDC,USDC,6,266,115339,11781611872,103741,15382801,deprecated,7035995
15573722,1663665119,0x5f844b502386b38183c7310248f515b78bb0b18b6d8f2de5f6efc8a003303f47,19,0xb4d8cc9869009c4d956f4b8c70ee463533ecaee28a5bbabd5c77d4ca21f3ec58,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,21000000000,USDC,USDC,6,85,115353,4788977883,103753,6750418,deprecated,7000493
15573810,1663666211,0x8070f7ca91d9c489f378df15d6686a522fcb5632d32fbd823b17594044afefa5,2,0x88cc3516022bf931c5a24d279c9a9937ebe929b69f49fd2adf216d8fead042d5,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4215000000,USDC,USDC,6,128,104842,5832578328,103729,7567806,deprecated,7000405
15718761,1665417707,0x6250e940ce65f72056ec75c8bde7550af642431545a1dabb57070c1069258005,20,0x18c28350b5731d70b1fccedb0fd95d1dd76f928c0494e73c4b99ac77132eabc1,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,868000000,USDC,USDC,6,129,115313,38556837483,103717,12468418,deprecated,6855454
15767498,1666005779,0x72c90f4be63c226a3a01eea5ff7ac28c0dbfd1e9bb4e5a12ba31b2927ce19c83,21,0x435b8eca294a2c9cef410693b31842bd673c7ade01fbc9cab0c2a266c36585af,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,140000000,USDC,USDC,6,225,100996,23869582880,99935,22740884,deprecated,6806717
15781638,1666176311,0x24e26e5b7c9ea2e677b2eba2cd240be732516d58854a193ab6bdefb60b095296,12,0x85d950a9c4e5da9e8ba6a4df5b69dcda2db6a86beeb9cf78ebfb922e216a9ef5,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000000000,USDC,USDC,6,70,249178,14348955352,164826,4898180,deprecated,6792577
15781638,1666176311,0x24e26e5b7c9ea2e677b2eba2cd240be732516d58854a193ab6bdefb60b095296,12,0x85d950a9c4e5da9e8ba6a4df5b69dcda2db6a86beeb9cf78ebfb922e216a9ef5,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,21000000000,USDC,USDC,6,70,249178,14348955352,164826,4898180,deprecated,6792577
15781638,1666176311,0x24e26e5b7c9ea2e677b2eba2cd240be732516d58854a193ab6bdefb60b095296,12,0x85d950a9c4e5da9e8ba6a4df5b69dcda2db6a86beeb9cf78ebfb922e216a9ef5,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,97000000,USDC,USDC,6,70,249178,14348955352,164826,4898180,deprecated,6792577
15782545,1666187231,0x4c702a7ba0a0ac09d5fe9f258a38860652a9fb356744de7de3d0419673dc9e4d,26,0xba0c187f61eb63e7269161dd26bc8be856a5496b0b2a8f25ee6a03bb09f9ebe2,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xef9fadde8539563d9a5e6625ce014b2e399f1597,100000000,USDC,USDC,6,33,87482,21231398928,86641,2845996,deprecated,6791670
15790253,1666280291,0x0a6d14a8810d29b311e362f835f4d6a83e3b958ef69e8e05c2d0d9950b67d90d,16,0x81f24f0d4a747875b2862a4faaf4b6afcf6bab19d59382422a6b0f8e5d7d9fcb,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xef9fadde8539563d9a5e6625ce014b2e399f1597,140000000,USDC,USDC,6,165,100996,42855684716,99935,11325699,deprecated,6783962
15790257,1666280339,0xdc016d39a21b6c69f8b8a7968fc2462837ba54f1c7138efa0b002e7b7f59e3d0,17,0x9b7d2438e92fd46757d1a04b9399fa11a2d60b9c09a8c89f466c3c117ec1c870,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xef9fadde8539563d9a5e6625ce014b2e399f1597,200000000,USDC,USDC,6,185,87482,36161543889,86641,11550449,deprecated,6783958
15920307,1667850155,0x4e46a8ca83e4ef199b35fa7e729bddd80a740810d13f1822d5e0912f1b7ec690,35,0x37b425d24ac35e60b9801c0aa34add91e17541e2fbe122d1a614f38ddc42213a,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,884000000,USDC,USDC,6,104,100996,28253911251,99935,10545849,deprecated,6653908
15984870,1668629351,0xb11eae084c7dac17a139d980a7d6bacc1124624acab3316fa033806d2e5a44de,36,0x9cb4eb965b0ad755d18cc5ec594a53645b8d288c73fa5d4f6e958a1513606eb1,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,3249000000,USDC,USDC,6,99,101008,78074375196,99947,6530145,deprecated,6589345
15990757,1668700355,0x60740094d3547c3cb2227c46285260394617cb830d2a1d453ceaec16f4a0ce14,38,0xdb56e85389f6cea4881658a02e278a0c7cdb80cfda9e414b1517f4eb3d8454e3,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000000000,USDC,USDC,6,140,87482,24751890389,86641,12610259,deprecated,6583458
16033501,1669216223,0x2385de17963d6d4aad8f684ba727683f0a56e3eb7edc56ec0faadd9ff9f65abc,21,0xa212cec3d89331c3cbcef6e2cf73bd6c178b2028a2e9e1ce0ce10c4684dab82d,0x83971bef12686921e144db119042b484731ea120,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,20077669484,USDC,USDC,6,36,90812,21840241885,85127,3076332,deprecated,6540714
16039091,1669283879,0x2a582068d7219e995f6c343eb6676db43357578df1abd8312914f9e9179f11d5,23,0xdb08ee3bc4a718b67ed9eea9bce0b22befe4558e5c8d1389c0cb0abdd8a27429,0x75ff84530c0628485127c8501fad8a555307488c,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,100000000000,USDC,USDC,6,19,90788,13887125152,89903,3148456,deprecated,6535124
16040363,1669299227,0x4fd1d33d8201a62b9075aa1e8502cd5f7cfea6b6c6c8192d2ec0afdd797e21be,40,0xa4b57eec2c49cca59a9cc5276f6b4f6c854f707f23674a186fa02b23064621ed,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,67632350000,USDC,USDC,6,198,101020,10624341781,99959,14036919,deprecated,6533852
16046109,1669368563,0xfeb2ce6b1682b799a38932bd1aec1d97112b1dd7cb80d6afa8f24069aa3f2eae,43,0xe01536a5a887b82826fa23d31aba4f9252e390589b88d3047cfa2e4b6e83b57b,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x958c5eb6018832508108e18d58a4acaf6f5fe658,5000000000,USDC,USDC,6,131,83636,11263570020,82847,10436135,deprecated,6528106
16068014,1669632827,0x1fd1ceae9552fe7ea98f36be663fe9f99657112fce53dfdb42d5ea45e7758fdc,45,0xec760ec0d7af6e1ceaf5c2021c3551e5e62abfda8b4347076625672f015818b2,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,2554000000,USDC,USDC,6,117,87494,11498919965,86653,5680169,deprecated,6506201
16068166,1669634651,0x293019501a54ed5a921c83a19ba0ae81764c32d395705826bbcff7b02b0f113a,46,0x847dffc4512f5aa7eeccc5c253655fcac80802da1db02d5a4fc9d295b24ed625,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,33000000000,USDC,USDC,6,262,104866,12159851922,103753,9351560,deprecated,6506049
16132478,1670411879,0x09e2e1ef1dd3be29e6f723327f0ef7a07ed5070fd5eaa045866b58dc6193b572,48,0xa892e6b04b8f43e31479a8eb59bec57d7a65f9e4f65792cf8ab0693ad876f406,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3b47469b17206008a3e23c2a49539ea32f3435ab,240000000,USDC,USDC,6,115,104842,15307131335,103729,10305215,deprecated,6441737
16182465,1671015251,0xa11892319a9e3443ad3e86c732299534db3d8de850e91ffd07b687eeea62cdd6,49,0x52c6bfd3df42f5a58f6ade676447d16d33f54fa4c54f8fad1a36180065791ed7,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,21000000000,USDC,USDC,6,78,104866,14344713225,103753,5635784,deprecated,6391750
16184335,1671037787,0x47cd24e02719886c7ad4633fe503315c23d95240a215a168e4b134f089094900,50,0x9224df8ebbc8b5a71a6caddfefa90e1d875d45b44ff9e1533da8b73b1f19070d,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000000000,USDC,USDC,6,70,104854,28478661297,103741,4759848,deprecated,6389880
16217668,1671439967,0x9aa8662baa0bcf5e374bc35eb567cf702bc6ba43b334042209a9a107a8ca1e6f,51,0x96a48f37bf0fa5f411a28aa294d7267f4bf4a5abe64638bcfff0e7e5db727450,0x75ff84530c0628485127c8501fad8a555307488c,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,200000000000,USDC,USDC,6,45,94646,12914380972,93709,2755299,deprecated,6356547
16217918,1671442967,0xb675afa33898fb658b7e76bea5d87156dcb2fe47a1eb18ec9b91eabcbe6dde61,52,0xbde00add191132cbb8187bec1abb8437af16f2e7421e5f35f880b4e16c0212e5,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3154677b603c2b30810b46a56b46892aa09d60e2,6000000000,USDC,USDC,6,86,104866,13343714462,103753,7152682,deprecated,6356297
16275752,1672140095,0xa7c77b04ce49d4354129c5209f0c8709b15a52166daee6f5e04c152ebbf66b37,53,0x36cb1a87561984b344d0b731e0ea9926c120f500ce4a194d73a9d121569c3254,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xcc3d189871e54b2a4214d5a989439d1cf5060392,2500000000,USDC,USDC,6,63,104854,11789459299,103741,5567301,deprecated,6298463
16340295,1672918115,0xa7c011bf023509e61070d83f41680b7ec84fddbf36aeff655ff31acfb019b76e,54,0x91c1ff41744ce3b90e5d31f84e2d2b02824fdfe01f1e24f8df4e83ffc0501e0e,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,82000000000,USDC,USDC,6,76,104866,14768113588,103753,6306559,deprecated,6233920
16340397,1672919363,0x0165b3d9ec86dffc0d5a82f3286c05e5d45c6fa645751f1c16503bb344b8c6b5,30,0x31314881389e86e308d9f72b5f63c8840a958e587979dcf59abce7dc13376613,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,2118000000,USDC,USDC,6,425,104866,34000000000,103753,14779239,deprecated,6233818
16418495,1673861819,0x33b7cd739b0ec18408823f3e1685ab4b47e30f1181bbc3deca1d6b47971ef383,57,0x91cf9cb9c945cf33e8a510395cdd7a54e97947b90d4cefdb76b35e8733ca7df4,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3a3a352a4173553cac9ca7467478597ce8fc93fa,8375000000,USDC,USDC,6,119,104878,14873382847,103765,19190694,deprecated,6155720
16419153,1673869763,0xe502c3d5250cc9661b8255f3f350f836ffb4c5c0744659bb65e1424ff2b902a8,58,0x6ed84cfca1b95a6ce6ff08221b518facd162bccbaac8dd38070b30d2ec991c88,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,22700000000,USDC,USDC,6,109,104854,16805072819,103741,10088398,deprecated,6155062
16419349,1673872115,0xa23ea1e46872a3a3dfe08aad5b86d4c2d7551a91f254b901a6c69f8a84a773f4,32,0x20a0183095937463853b045b04f35095c38959df750f94cbb15cf3939ade5667,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000000000,USDC,USDC,6,92,104854,21569014289,99935,6801990,deprecated,6154866
16427048,1673964839,0xd64dcb49a84e5f742a41140a9c52609cd0ae8909b4ae5ecf6d8156d8ecf32d7b,59,0x183024a91c22cc57cd937b980965eb4c44bf9ad8d7eb1fd91b16b9039072dc75,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3154677b603c2b30810b46a56b46892aa09d60e2,5000000000,USDC,USDC,6,58,87482,19501787600,86641,4836322,deprecated,6147167
16427051,1673964875,0xa1d292a6c823ea1e4cd86bcd1881830ca5e9170a4787606d71aa74a7a047ea2b,60,0xa8d9e29e48b98585ec10171abd7c553e32248a143205f98e09cb45936657389c,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,2184000000,USDC,USDC,6,80,104842,18461215715,103729,7121373,deprecated,6147164
16431975,1674024227,0x6e55e01456bcd73d658650defb59f1756ed9167a1c3ae88ec976b35b9d4ce5fe,33,0x789c19a775657bb2b29439bfde4ee22235a32c18d3378ade09f02970b65fcd75,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,584000000,USDC,USDC,6,88,104854,15758827243,99935,7563962,deprecated,6142240
16433096,1674037739,0xa533875df93f0fcf207073f3feecdafba1b510aeab4ae041f762e881ca2671bf,61,0x90e10a4330743033580547840de9911d4aa7c12c049c881519500dea8f26f23b,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4044000000,USDC,USDC,6,71,87482,15696158331,86641,5502746,deprecated,6141119
16499070,1674833591,0x381676890a17db64738b2f5d0ddcbd006b2d63aaac5e2e13f8f77eac935c95d5,62,0xd6abb00279d5c056f9fb55e22180e7f040f4d93aac80619bf2b94500b056bcc2,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xf5245992b5af764cba0afe352c7578b20c5e7cfe,500000000,USDC,USDC,6,164,104842,21055032855,103729,11280533,deprecated,6075145
16499114,1674834119,0xfae84e67501437b417aad8f82c407fb1a42abf1414a45d738c1da908c24e0067,63,0x291f619a28c552c8f73f42c07ab12fa3bca4ac63dff211310353adaea8d52a95,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,23167000000,USDC,USDC,6,185,104878,40878255075,103765,12093663,deprecated,6075101
16499138,1674834419,0x54a36d5a2936e62160e36b32d219c106559e57ea6e892632d551b179807cf123,64,0xcc10e10f27bfe02540fce8b17017d07206b849ef58aa68c3df2e6ced0fb2fbec,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0c482919bbf8551c7be9b34e7e957f7183b5ba1e,2250000000,USDC,USDC,6,77,104866,40050188459,103753,6009996,deprecated,6075077
16535533,1675273427,0xf2b31214c5fd00ec2e5ead78c2d15439e5fdfb66293ed23e5911312666b416ae,66,0xd2d7f2dc6bcc3616824a2ce24149c06b2780c49cf133b37cecdf3fafe47710c7,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,1960000000,USDC,USDC,6,70,87482,20399069331,86641,5158574,deprecated,6038682
16547934,1675423463,0x69f12ac225861d734899268f13d5a6e7c61b37ef97137f94c93cb9047d31ecc9,67,0xfd5c660e980b7ca10a50411ac1318dcc2113b497be32c9706746651af1d2a5d5,0xe11a3c6d20b464c77ca7dbe8cf9e83c91dd337be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,20465680000,USDC,USDC,6,77,87494,21207538184,86653,6945956,deprecated,6026281
